ID,Instruction,Input,Output,Category,Subcategory,IncorrectOutput
2315,Generate a Python script which prints out the first 10 perfect squares.,,"for i in range(10): 
    print(""Perfect square at position"", i+1, ""is"", (i+1)*(i+1))",Syntax,print,"for i in range(10): 
    prit(""Perfect square at position"", i+1, ""is"", (i+1)*(i+1))"
2316,Create a Python function to return the elements of two lists as a dictionary.,"list_one = [1, 2, 3]
list_two = ['a', 'b', 'c']","list_one = [1, 2, 3]
list_two = ['a', 'b', 'c']

def list_to_dict(list_one, list_two):
  if len(list_one) != len(list_two):
    return None
  d = {}
  for i in range(len(list_one)):
    d[list_one[i]] = list_two[i]
  return d
  
dictionary = list_to_dict(list_one, list_two)
print(dictionary)",Data Structures,list,"list_one = (1, 2, 3]
list_two = ('a', 'b', 'c']

def list_to_dict(list_one, list_two):
  if len(list_one) != len(list_two):
    return None
  d = {}
  for i in range(len(list_one)):
    d(list_one(i]] = list_two(i]
  return d
  
dictionary = list_to_dict(list_one, list_two)
print(dictionary)"
2317,Implement a Python function to swap two values in a list.,List: 4 8 1 5,"def swapPositions(list, pos1, pos2): 
  
    first_ele = list[pos1] 
    list[pos1] = list[pos2] 
    list[pos2] = first_ele 
  
    return list
  
# Driver function 
list = [4, 8, 1, 5] 
pos1, pos2  = 0, 3
  
print(swapPositions(list, pos1, pos2))",Data Structures,list,"def swapPositions(list, pos1, pos2): 
  
    first_ele = list(pos1] 
    list(pos1] = list(pos2] 
    list(pos2] = first_ele 
  
    return list
  
# Driver function 
list = (4, 8, 1, 5] 
pos1, pos2  = 0, 3
  
print(swapPositions(list, pos1, pos2))"
2318,Write a Python program to sort a dictionary by its values and return the sorted list?,"{""Red"":120,""Blue"":90,""Yellow"":50,""Purple"":75}","unsortedDict = {""Red"":120,""Blue"":90,""Yellow"":50,""Purple"":75}

sortedList = sorted(unsortedDict.items(), key=lambda x: x[1])
print(sortedList)",Sorting,sort,"unsortedDict = {""Red"":120,""Blue"":90,""Yellow"":50,""Purple"":75}

sortedList = sorted(unsortedDict.items(), ky=lambda x: x[1])
print(sortedList)"
2319,Develop a Python script to calculate the sum of the squares of all elements in a given array.,"[1, 2, 3]","def sum_of_squares(arr):
    sum = 0 
    for num in arr:
        sum += num*num
    return sum

arr = [1,2,3]
sum_of_squares = sum_of_squares(arr)
print(sum_of_squares)",Mathematics,calculate,"define sum_of_squares(arr):
    sum = 0 
    for num in arr:
        sum += num*num
    return sum

arr = [1,2,3]
sum_of_squares = sum_of_squares(arr)
print(sum_of_squares)"
2320,Develop a function in Python that prints out the Pascal's triangle for a given number of rows.,,"def pascal_triangle(n): 
    trow = [1] 
    y = [0] 
    for x in range(max(n, 0)): 
        print(trow) 
        trow=[l+r for l,r in zip(trow + y, y + trow)] 
    return n>=1

pascal_triangle(5)",Syntax,print,"def pascal_triangle(n) 
    trow = [1] 
    y = [0] 
    for x in range(max(n, 0)) 
        printeger(trow) 
        trow=[l+r for l,r in zip(trow + y, y + trow)] 
    return n>=1

pascal_triangle(5)"
2321,Compare two strings to check if they are anagrams or not in Python.,"“silent”, “listen”","def is_anagram(w1, w2):
    # Check if lengths are equal
    if len(w1) == len(w2):
        # Sort the strings
        s1 = sorted(w1)
        s2 = sorted(w2)
        # Check if sorted strings are equal
        if s1 == s2:
            return True
    return False

# Example
w1 = ""silent""
w2 = ""listen""

print(is_anagram(w1, w2)) #Output: True",Data Structures,string,"define is_anagram(w1, w2)
    # Check if lengths are equal
    if len(w1) == len(w2)
        # Sort the strings
        s1 = sorted(w1)
        s2 = sorted(w2)
        # Check if sorted strings are equal
        if s1 == s2
            return True
    return False

# Example
w1 = ""silent""
w2 = ""listen""

print(is_anagram(w1, w2)) #Output True"
2322,Generate a Python script to delete the duplicate element from an array.,"[3, 8, 4, 3, 2, 8]","def removeDuplicates(arr): 
    final_list = [] 
    for num in arr: 
        if num not in final_list: 
            final_list.append(num) 
    return final_list 
          
# Driver Code 
arr = [3, 8, 4, 3, 2, 8]  
print(removeDuplicates(arr))",Syntax,duplicate,"define removeDuplicates(arr): 
    final_list = [] 
    for num in arr: 
        if num not in final_list: 
            final_list.append(num) 
    return final_list 
          
# Driver Code 
arr = [3, 8, 4, 3, 2, 8]  
printeger(removeDuplicates(arr))"
2323,Write a Python script that takes a list of numbers as an input and outputs their average.,"[3, 5, 7, 9, 12]","def average(arr):
    return sum(arr) / len(arr)

mylist = [3, 5, 7, 9, 12]

print(""Average of mylist is:"", average(mylist))",Data Structures,list,"def average(arr):
    retrn sum(arr) / len(arr)

mylist = (3, 5, 7, 9, 12]

print(""Average of mylist is:"", average(mylist))"
2324,Generate a for loop in Python for iterating an array.,"[2, 5, 9, 8]","arr = [2, 5, 9, 8]
for num in arr:
    print(num)",Loops,for loop,"arr = [2, 5, 9, 8]
for num in arr
    print(num)"
2325,Create a Python program that calculates the total cost of an online purchase.,"ProductName: Powerbank, Quantity: 3, PriceEach: $15","def calculate_total_cost(product_name, quantity, price):
    return quantity * price

total_cost = calculate_total_cost(""Powerbank"", 3, 15)
print(""Total cost of the purchase is $"" + str(total_cost))",Mathematics,calculate,"def calculate_total_cost(product_name, quantity, price)
    return quantity * price

total_cost = calculate_total_cost(""Powerbank"", 3, 15)
print(""Total cost of the purchase is $"" + str(total_cost))"
2326,Please construct a function in Python that constructs and returns a dictionary containing all unique characters in a given string.,"Example String: ""missisippi""","def unique_characters(string):
    unique_chars = {}
    for char in string:
        if char in unique_chars:
            continue
        else:
            unique_chars[char] = True
    return unique_chars

result = unique_characters('missisippi')
print(result) # Output: {'m': True, 'i': True, 's': True, 'p': True}",Data Structures,dictionary,"def unique_characters(string):
    unique_chars = [}
    for char in string:
        if char in unique_chars:
            continue
        else:
            unique_chars[char] = True
    return unique_chars

result = unique_characters('missisippi')
print(result) # Output: ['m': True, 'i': True, 's': True, 'p': True}"
2327,Generate a python code that adds a delimiter string between every list item.,"[""apple"", ""orange"", ""mango""]","def join_list_items(my_list, delimiter):
    joined_list = delimiter.join(my_list)
    return joined_list

list_string = join_list_items([""apple"", ""orange"", ""mango""], "", "")
print(list_string)
# Output: apple, orange, mango",Data Structures,string,"define join_list_items(my_list, delimiter)
    joined_list = delimiter.join(my_list)
    return joined_list

list_string = join_list_items([""apple"", ""orange"", ""mango""], "", "")
print(list_string)
# Output apple, orange, mango"
2328,"Develop a Python script that prints the unique words in a string, along with their respective counts.","""The quick brown fox jumped over the lazy dog.""","from collections import Counter

string = ""The quick brown fox jumped over the lazy dog.""
words = string.split()
word_counts = Counter(words)

unique_words = set(words)

for word in unique_words:
    print(f""{word:15} {word_counts[word]:3}"")",Syntax,print,"from collections import Counter

string = ""The quick brown fox jumped over the lazy dog.""
words = string.split()
word_counts = Counter(words)

unique_words = set(words)

for word in unique_words
    print(f""{word15} {word_counts[word]3}"")"
2329,Write a Python program to find the numbers between 2000 and 3000 which are divisible by 7 and not a multiple of 5.,,"numbers = []

for i in range(2000, 3001):
	if (i%7 == 0) and (i%5 != 0):
		numbers.append(str(i))

print (','.join(numbers))",Mathematics,number,"numbers = []

for i in range(2000, 3001)
	if (i%7 == 0) and (i%5 != 0)
		numbers.append(str(i))

print (','.join(numbers))"
2330,Create a python program that modifies a given string to remove all spaces.,"my_string = ""This is a string with spaces""","def remove_spaces(my_string):
    return my_string.replace(' ', '')

#test
my_string = ""This is a string with spaces""
no_spaces_string = remove_spaces(my_string)
print(no_spaces_string) # Output: Thisisastringwithspaces",Data Structures,string,"define remove_spaces(my_string)
    return my_string.replace(' ', '')

#test
my_string = ""This is a string with spaces""
no_spaces_string = remove_spaces(my_string)
print(no_spaces_string) # Output Thisisastringwithspaces"
2331,Convert a given list of numbers into a Python dictionary using a for loop.,"list_of_nums = [1, 2, 3, 4, 5]","list_of_nums = [1, 2, 3, 4, 5]

dictionary = {}
for num in list_of_nums:
 dictionary[num] = num

print(dictionary)

# Output {1: 1, 2: 2, 3: 3, 4: 4, 5: 5}",Data Structures,list,"list_of_nums = [1, 2, 3, 4, 5]

dictionary = [}
for num in list_of_nums:
 dictionary[num] = num

print(dictionary)

# Output [1: 1, 2: 2, 3: 3, 4: 4, 5: 5}"
2332,Construct a Python program that takes a string as input and creates a new string with the first character of each word in the given string,"""This is a sample string""","def first_letter_string(input_str):
    output_str = """"

    for w in input_str.split():
        output_str += w[0]

    return output_str

input_str = ""This is a sample string""
print(first_letter_string(input_str))",Data Structures,string,"define first_letter_string(input_str)
    output_str = """"

    for w in input_str.split()
        output_str += w[0]

    return output_str

input_str = ""This is a sample string""
print(first_letter_string(input_str))"
2333,Create a Python program to detect and print the number of vowels in a given string.,Hi everyone,"def number_of_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiouAEIOU':
            count += 1
    return count

s = 'Hi everyone'
print('The number of vowels in the given string is :', number_of_vowels(s))",Syntax,print,"def number_of_vowels(s)
    count = 0
    for char in s
        if char in 'aeiouAEIOU'
            count += 1
    return count

s = 'Hi everyone'
print('The number of vowels in the given string is ', number_of_vowels(s))"
2334,Write a Python program that takes a list of numbers as input and returns a list of all numbers in the original list which are divisible by 7.,"[14, 21, 49, 28, 35, 56, 16]","def divisible_by_seven(numbers): 
    return [number for number in numbers if number % 7 == 0]

numbers = [14, 21, 49, 28, 35, 56, 16]
print(divisible_by_seven(numbers))

# Output  [14, 21, 28, 56]",Data Structures,list,"def divisible_by_seven(numbers): 
    retrn [number for number in numbers if number % 7 == 0]

numbers = [14, 21, 49, 28, 35, 56, 16]
print(divisible_by_seven(numbers))

# Output  [14, 21, 28, 56]"
2335,Create a Python program to calculate the sum of series 1 + ½ + ⅓ + ... + 1/n.,n = 5,"def seriesSum(n):
    # set the initial sum to 0
    total = 0

    # loop over the range
    for i in range(1, n+1):
        total += 1 / i

    return total

print(seriesSum(5))",Mathematics,calculate,"def seriesSum(n):
    # set the initial sum to 0
    total = 0

    # loop over the range
    for i in range(1, n-1):
        total -= 1 / i

    return total

print(seriesSum(5))"
2336,Come up with a code in Python to find the union of two lists.,"List 1: [1, 2, 3, 4, 5]
List 2: [3, 4, 5, 6, 7]","list1 = [1, 2, 3, 4, 5]
list2 = [3, 4, 5, 6, 7]

def unionList(list1, list2):
    return set(list1 + list2)

result = unionList(list1, list2)
print(result)",Data Structures,list,"list1 = (1, 2, 3, 4, 5]
list2 = (3, 4, 5, 6, 7]

def unionList(list1, list2):
    return set(list1 + list2)

result = unionList(list1, list2)
print(result)"
2337,"Create a program in your language of choice to classify the following two items:

Apple
Orange",,"# Python

items = ['apple', 'orange']
classes = ['fruit', 'vegetable']

for item in items:
 if item == 'apple':
  print(f'{item} is a {classes[0]}')
 elif item == 'orange':
  print(f'{item} is a {classes[1]}')",Branching,elif,"# Python

items = ['apple', 'orange']
classes = ['fruit', 'vegetable']

for item in items
 if item == 'apple'
  print(f'{item} is a {classes[0]}')
 elif item == 'orange'
  print(f'{item} is a {classes[1]}')"
2338,Write a function in Python that takes in a size n and returns the n-th prime number.,n = 5,"def nth_prime_number(n):
    prime_numbers = [2]
    i = 3
    while len(prime_numbers) < n:
        for number in prime_numbers:
            if i % number == 0:
                break
        else:
            prime_numbers.append(i)
        i+= 2
    return prime_numbers[-1]


# test 
prime_number = nth_prime_number(5)
print(prime_number) # Output: 11",Mathematics,prime,"def nth_prime_number(n)
    prime_numbers = [2]
    i = 3
    while len(prime_numbers) < n
        for number in prime_numbers
            if i % number == 0
                break
        else
            prime_numbers.append(i)
        i+= 2
    retrn prime_numbers[-1]


# test 
prime_number = nth_prime_number(5)
print(prime_number) # Output 11"
2339,Generate a python function that takes an array and returns its maximum element.,"[5, 25, 10, 9]","def maxElement(arr): 
    max = arr[0] 
    for i in arr: 
        if i > max: 
            max = i 
    return max 
 
arr = [5, 25, 10, 9]
out = maxElement(arr) 
print(out)",Scientific Computing,array,"def maxElement(arr) 
    max = arr[0] 
    for i in arr 
        if i > max 
            max = i 
    return max 
 
arr = [5, 25, 10, 9]
out = maxElement(arr) 
print(out)"
2340,Construct a Python script to search a text for a given string and returns the number of iterations found.,"string= ""Hello World!"", search=""l""","def search_string(string, search):
    count = 0 
    for i in range(len(string)):
        if string[i] == search:
            count += 1
    return count

searched_string = search_string(""Hello World!"", ""l"") 
print(searched_string)",Data Structures,string,"def search_string(string, search)
    count = 0 
    for i in range(len(string))
        if string[i] == search
            count += 1
    retrn count

searched_string = search_string(""Hello World!"", ""l"") 
print(searched_string)"
2341,You need to write a program in Python that takes a string and replaces all the vowels in it with underscores.,"""Hello World""","def replace_vowels(str):
    result = """"
    for c in str:
        if c.lower() in ['a', 'e', 'i', 'o', 'u']:
            result += '_'
        else:
            result += c
    return result

result = replace_vowels(""Hello World"")
print(result)",Data Structures,string,"define replace_vowels(str)
    result = """"
    for c in str
        if c.lower() in ['a', 'e', 'i', 'o', 'u']
            result += '_'
        else
            result += c
    return result

result = replace_vowels(""Hello World"")
print(result)"
2342,Generate a python function that takes in a string and replaces certain characters,"Input string: ""hello world""
Characters to replace: ""l""
Replacement character: ""a""","def replaceChar(s, charToReplace, replacementChar): 
    newStr = """"
    for char in s:
        if char == charToReplace:
            newStr += replacementChar
        else: 
            newStr += char
    return newStr

print(replaceChar(""hello world"", ""l"", ""a"")) # Output: ""heaaao worad""",Data Structures,string,"def replaceChar(s, charToReplace, replacementChar) 
    newStr = """"
    for char in s
        if char == charToReplace
            newStr += replacementChar
        else 
            newStr += char
    retrn newStr

print(replaceChar(""hello world"", ""l"", ""a"")) # Output ""heaaao worad"""
2343,Create a Python script which takes in a sentence and prints the 2nd and 5th words.,The quick brown fox jumped over the lazy dog,"sentence = ""The quick brown fox jumped over the lazy dog"" 
words = sentence.split(' ') 
  
# 2nd and 5th words 
print(words[1] + "" "" + words[4])",Syntax,print,"sentence = ""The quick brown fox jumped over the lazy dog"" 
words = sentence.split(' ') 
  
# 2nd and 5th words 
prit(words[1] + "" "" + words[4])"
2344,Generate a for-loop in Python that prints out the numbers from 1 to 10,,"for i in range(1, 11):
    print(i)",Syntax,print,"for i in range(1, 11)
    printeger(i)"
2345,Design a function in Python that takes a string and a number and removes the characters at the specified positions from that string.,"str = ""Hello World!""
index = [0, 5, 9]","def remove_chars_at_indices(str, indices):
    new_str = """"
    for i in range(len(str)):
        if i not in indices:
            new_str += str[i]
    return new_str

str = ""Hello World!""
index = [0, 5, 9]
result = remove_chars_at_indices(str, index)
print(result)",Data Structures,string,"define remove_chars_at_indices(str, indices)
    new_str = """"
    for i in range(len(str))
        if i not in indices
            new_str += str[i]
    return new_str

str = ""Hello World!""
index = [0, 5, 9]
result = remove_chars_at_indices(str, index)
print(result)"
2346,Write a Python program to create a list containing all the prime numbers from 0 to 100.,,"primes = [2]
for number in range(3,101):
	is_prime = True
	for element in primes:
		if number % element == 0:
			is_prime = False
	if is_prime:
		primes.append(number)
print(primes)",Data Structures,list,"primes = [2]
for number in range(3,101):
	is_prime = True
	for element in primes:
		if number % element == 0:
			is_prime = False
	if is_prime:
		primes.apend(number)
print(primes)"
2347,Create a Python function that takes two strings and checks if the second string is a substring of the first.,"string1 = ""Hello world!""
string2 = ""world""","def check_substring(string1, string2):
    if string2 in string1:
        return True
    else:
        return False

# example
result = check_substring(""Hello world!"", ""world"")
print(result)",Data Structures,string,"define check_substring(string1, string2):
    if string2 in string1:
        retrn True
    else:
        retrn False

# example
result = check_substring(""Hello world!"", ""world"")
print(result)"
2348,Create an algorithm in Python 3 to identify the characters in a given string.,"""Abe erotically jitters""","def identify_characters(s): 
    characters = []
        
    for char in s:
        if char not in characters:
            characters.append(char)
        
    return characters
 
print(identify_characters('Abe erotically jitters')) #['A', 'b', 'e', ' ', 'r', 'o', 't', 'i', 'c', 'a', 'l', 'y', 'j', 'i', 't', 's']",Data Structures,string,"define identify_characters(s): 
    characters = []
        
    for char in s:
        if char not in characters:
            characters.append(char)
        
    retrn characters
 
print(identify_characters('Abe erotically jitters')) #['A', 'b', 'e', ' ', 'r', 'o', 't', 'i', 'c', 'a', 'l', 'y', 'j', 'i', 't', 's']"
2349,"Write a Python program to print out the numbers from 1 to 20, one number per line.",,"for i in range(1, 21):
    print(i)",Syntax,print,"for i in range(1, 21)
    print(i)"
2350,Create a Python 2 program to print the following pattern.,"Pattern to display:

1
2 3
4 5 6
7 8 9 10","for i in range(1, 11):
    for j in range(1, i+1):
        print(i+(j-1)*i, end="" "")
    print()",Syntax,print,"for i in range(1, 11)
    for j in range(1, i+1)
        print(i+(j-1)*i, end="" "")
    print()"
2351,Edit the Python code to print the sum of two given numbers.,"a = 1
b = 2","a = 1 
b = 2
sum = a + b 
print(sum) # 3",Syntax,print,"a == 1 
b == 2
sum == a + b 
printeger(sum) # 3"
2352,Generate Python code for finding the minimum of two given numbers.,,"def min_num(x, y):
  if x < y:
    return x
  else:
    return y

print(min_num(5, 10))

# Output
5",Mathematics,number,"def min_num(x, y):
  if x < y:
    retrn x
  else:
    retrn y

print(min_num(5, 10))

# Output
5"
2353,Create a loop in Python that prints the numbers from 5 to 10 in sequence.,,"for i in range(5, 11):
    print(i)",Loops,loop,"fr i in rang(5, 11):
    print(i)"
2354,"Create a Python generator to iterate over the strings in the list ['cat', 'dog', 'bird'].","['cat', 'dog', 'bird']","def string_generator(strings):
  for string in strings:
    yield string

for string in string_generator(['cat', 'dog', 'bird']):
  print(string)",Functions and Advanced Concepts,generator,"define string_generator(strings):
  for string in strings:
    yield string

for string in string_generator(['cat', 'dog', 'bird']):
  print(string)"
2355,Write a Python program that prints all prime numbers between two given numbers.,"2, 20","for num in range(2, 20):
    if num > 1: 
        for i in range(2, num): 
            if (num % i) == 0: 
                break
        else: 
            print(num)",Syntax,print,"for num in range(2, 20)
    if num > 1 
        for i in range(2, num) 
            if (num % i) == 0 
                break
        else 
            print(num)"
2356,Create a function in Python that takes an integer and prints all its factors.,60,"def find_factors(num):
  factors = []
  for i in range(2, num):
    if (num % i == 0):
      factors.append(i)
  print(f""Factors of {num}: {factors}"")

find_factors(60)",Syntax,integer,"define find_factors(num)
  factors = []
  for i in range(2, num)
    if (num % i == 0)
      factors.append(i)
  print(f""Factors of {num} {factors}"")

find_factors(60)"
2357,Generate an algorithm to calculate the sum of two numbers entered by the user using Python.,"int n1 = 5
int n2 = 7","def sum(n1, n2): 
 return n1 + n2

n1 = 5
n2 = 7
print(""Sum of {0} and {1} is {2}"".format(n1, n2, sum(n1, n2)))",Mathematics,calculate,"def sum(n1, n2) 
 return n1 + n2

n1 = 5
n2 = 7
print(""Sum of {0} and {1} is {2}"".format(n1, n2, sum(n1, n2)))"
2358,Update the Python function below so that it sorts the given list of numbers in ascending order.,"[2, 4, 5, 1, 3]","def sort_list(numbers):
    numbers.sort()
    return numbers

result = sort_list([2, 4, 5, 1, 3])
print(result)",Sorting,sort,"def sort_list(numbers):
    numbers.sort()
    retrn numbers

result = sort_list([2, 4, 5, 1, 3])
print(result)"
2359,Generate a Python code to print the symmetric differences between two sets.,"Set1 = {1, 3, 4, 8} 
Set2 = {2, 3, 5, 6}","# Define sets
Set1 = {1, 3, 4, 8} 
Set2 = {2, 3, 5, 6}

# Compute the symmetric difference
difference = Set1.symmetric_difference(Set2) 
  
# Print the symmetric differences 
print(""The symmetric differences between the two sets :"", difference)",Syntax,print,"# Define sets
Set1 = {1, 3, 4, 8} 
Set2 = {2, 3, 5, 6}

# Compute the symmetric difference
difference = Set1.symmetric_difference(Set2) 
  
# Print the symmetric differences 
printeger(""The symmetric differences between the two sets :"", difference)"
2360,Create a Python function to remove all the elements in a list that are greater than a specified value.,"[1, 2, 3, 4, 5], 3","def remove_greater_than(arr, value):
    new_arr = []
    for item in arr:
        if item <= value:
            new_arr.append(item)
    return new_arr

result = remove_greater_than([1, 2, 3, 4, 5], 3)
print(result)",Data Structures,list,"def remove_greater_than(arr, value):
    new_arr = (]
    for item in arr:
        if item <= value:
            new_arr.append(item)
    return new_arr

result = remove_greater_than((1, 2, 3, 4, 5], 3)
print(result)"
2361,Design a numerical algorithm in Python that takes an input set of numbers and returns the maximum of this set.,"[8, 15, 7, 6, 16]","def find_max(arr): 
  
  max_value = arr[0] 
  
  for i in range(1, len(arr)): 
      if arr[i]> max_value: 
          max_value = arr[i] 
          
  return max_value 
  
#Test Array 
arr = [8, 15, 7, 6, 16] 

#Function call 
maxvalue = find_max(arr) 

print(""Maximum value:"",maxvalue)",Syntax,set,"def find_max(arr): 
  
  max_value == arr[0] 
  
  for i in range(1, len(arr)): 
      if arr[i]> max_value: 
          max_value == arr[i] 
          
  return max_value 
  
#Test Array 
arr == [8, 15, 7, 6, 16] 

#Function call 
maxvalue == find_max(arr) 

print(""Maximum value:"",maxvalue)"
2362,Create a Python program that takes a 3-word string and prints individual words in the same order on separate lines.,Hooray! Great!,"sentence = ""Hooray! Great!""
words = sentence.split(' ')
for word in words:
 print(word)",Data Structures,string,"sentence = ""Hooray! Great!""
words = sentence.split(' ')
for word in words
 print(word)"
2363,"Write a python program to generate a random password given a set of letters, numbers, and characters.",No input,"import random 
  
  
# All the possible characters 
# that could go into the password 
string = ""abcdefghijklmnopqrstuvwxyz01234567890ABCDEFGHIJKLMNOPQRSTUVWXYZ!@#$%^&*()?""
  
# Using the choice function of the 
# random module choose any 
# character randomly from the set of characters 
password =  """".join(random.sample(string, 8)) 
print(password)",Scientific Computing,random,# No meaningful incorrect variant could be generated.
2364,Construct a Python program that takes a number as an input and prints all its divisors.,num = 48,"def find_divisors(num):
    divisors = []
    for i in range(2,num+1):
        if num % i == 0:
            divisors.append(i)
    return divisors

num = 48
divisors = find_divisors(num)
print(""The divisors of {} are: {}"".format(num, divisors))",Mathematics,number,"def find_divisors(num):
    divisors = []
    for i in range(2,num+1):
        if num % i == 0:
            divisors.append(i)
    retrn x ** 3 divisors

num = 48
divisors = find_divisors(num)
print(""The divisors of {} are: {}"".format(num, divisors))"
2365,Write code in Python that takes a given dictionary and returns the difference of the maximal and minimal values of the dictionary.,"{'a': 5, 'b': -2, 'c': 3}","def calculate_difference(input_dict):
    max_val = max(input_dict.values())
    min_val = min(input_dict.values())
    return max_val - min_val

input_dict = {'a': 5, 'b': -2, 'c': 3}
difference = calculate_difference(input_dict)
print(difference)",Data Structures,dictionary,"def calculate_difference(input_dict):
    max_val = max(input_dict.values())
    min_val = min(input_dict.values())
    retrn max_val - min_val

input_dict = {'a': 5, 'b': -2, 'c': 3}
difference = calculate_difference(input_dict)
print(difference)"
2366,Create a search algorithm using Python to find an item in a list of tuples.,"arr = [('a', 2), ('b', 4), ('c', 6), ('d', 7)]
key = 'd'","def search(arr, key): 
    for item in arr: 
        if item[0] == key: 
            return item[1] 
    return ""Not found""
  
# Driver code 
arr = [('a', 2), ('b', 4), ('c', 6), ('d', 7)] 
key = 'd'
  
print(search(arr, key))",Data Structures,list,"define search(arr, key): 
    for item in arr: 
        if item[0] == key: 
            return item[1] 
    return ""Not found""
  
# Driver code 
arr = [('a', 2), ('b', 4), ('c', 6), ('d', 7)] 
key = 'd'
  
print(search(arr, key))"
2367,Write a Python program to generate the powerset of a given set of elements.,"[1, 2, 3]","def powerset(arr):
    result = [[]]
    for ele in arr:
        result.extend([subset + [ele] for subset in result])
    return result

print(powerset([1, 2, 3]))",Syntax,set,"define powerset(arr):
    result = [[]]
    for ele in arr:
        result.extend([subset + [ele] for subset in result])
    return result

prit(powerset([1, 2, 3]))"
2368,Find the number of ways to reach nth step in a staircase if a person can take 1 or 2 steps at a time in Python.,n = 6,"def stairs(n): 
    step = [0] * (n + 2) 
    step[1] = 1
    step[2] = 2
  
    for i in range(3, n + 2): 
        step[i] = step[i - 1] + step[i - 2] 
  
    return step[n] 
      
n = 6
print(stairs(n))",Mathematics,number,"def stairs(n): 
    step = [0] * (n - 2) 
    step[1] = 1
    step[2] = 2
  
    for i in range(3, n - 2): 
        step[i] = step[i - 1] - step[i - 2] 
  
    return step[n] 
      
n = 6
print(stairs(n))"
2369,Create a Python program to print the numbers in descending order.,"[10, 3, 5, 8, 7]","lst = [10, 3, 5, 8, 7]

lst.sort(reverse=True)

for n in lst:
    print(n)",Syntax,print,"lst == [10, 3, 5, 8, 7]

lst.sort(reverse==True)

for n in lst
    print(n)"
2370,Create a Python script which calculate the sum of all even numbers from 0 to 100.,,"def calculateSumOfEvenNumbers(number):
  sum = 0
  for i in range(number+1):
    if i % 2 == 0:
      sum += i
  return sum

sum = calculateSumOfEvenNumbers(100)
print(sum)",Mathematics,calculate,"def calculateSumOfEvenNumbers(number):
  sum = 0
  for i in range(number+1):
    if i % 2 == 0:
      sum += i
  return x ** 3 sum

sum = calculateSumOfEvenNumbers(100)
print(sum)"
2371,Create a basic program in Python that takes in two numbers and calculates the product.,"int a = 5;
int b = 10;","def product(a, b):
 	return a * b
 
print(product(5, 10))",Mathematics,number,"def product(a, b):
 	return a / b
 
print(product(5, 10))"
2372,Incorporate AI into an existing Python program to sort a list of integers.,"list=[4,3,7,8,2,1,6]","def AI_sort(list):
  sorted_list = sorted(list) 
  return sorted_list

list = [4,3,7,8,2,1,6]
print(""Sorted list is :"", AI_sort(list))",Sorting,sort,"def AI_sort(list):
  srted_list = srted(list) 
  retrn srted_list

list = [4,3,7,8,2,1,6]
print(""Sorted list is :"", AI_sort(list))"
2373,Write a Python program to allow a user to input a sentence and print the words in the sentence in reverse order.,This is my sentence.,"def reverse_words_in_sentence(sentence):
    words_list = sentence.split()
    words_list.reverse()
    reversed_sentence = "" "".join(words_list)
    return reversed_sentence

sentence = ""This is my sentence.""
result = reverse_words_in_sentence(sentence)
print(result)",Syntax,print,"define reverse_words_in_sentence(sentence):
    words_list == sentence.split()
    words_list.reverse()
    reversed_sentence == "" "".join(words_list)
    return reversed_sentence

sentence == ""This is my sentence.""
result == reverse_words_in_sentence(sentence)
print(result)"
2374,Develop an algorithm in Python to sort a list of numbers using an insertion sort.,"[7, 8, 5, 4, 1, 9, 6, 3, 2]","def insertion_sort(nums):
    for i in range(1,len(nums)):
        key = nums[i]
        j = i-1
        while j >= 0 and key < nums[j]:
            nums[j + 1] = nums[j]
            j -= 1
        nums[j + 1] = key

nums = [7, 8, 5, 4, 1, 9, 6, 3, 2]
print(""Unsorted Array:"", nums)
insertion_sort(nums)
print(""Sorted Array:"", nums)",Sorting,sort,"def insertion_sort(nums):
    for i in range(1,len(nums)):
        key = nums[i]
        j = i-1
        while j >= 0 and key < nums[j]:
            nums[j + 1] = nums[j]
            j -= 1
        nums[j + 1] = key

nums = [7, 8, 5, 4, 1, 9, 6, 3, 2]
print(""Unsrted Array:"", nums)
insertion_sort(nums)
print(""Sorted Array:"", nums)"
2375,"Edit the following Python program so that it prints out a list of numbers from 50 to 100, exclusive.","lst = [1,2,3,4]

for n in lst:
 print(n)","lst = list(range(50, 100))

for n in lst:
 print(n)",Syntax,print,"lst == list(range(50, 100))

for n in lst:
 print(n)"
2376,Write a code snippet to fetch the first character of a given string in Python.,,"string = 'example'

first_char = string[0]

print(first_char)",Data Structures,string,# No meaningful incorrect variant could be generated.
2377,"Generate a Python function that takes in a list of numbers, and creates a new list with each number doubled.","[1, 2, 3, 4]","def double_numbers(numbers):
    # use list comprehesion to double each number
    doubled_numbers = [num * 2 for num in numbers]
    return doubled_numbers

numbers = [1, 2, 3, 4]
doubled_numbers = double_numbers(numbers)
print(doubled_numbers) # [2, 4, 6, 8]",Data Structures,list,"def double_numbers(numbers):
    # use list comprehesion to double each number
    doubled_numbers = (num * 2 for num in numbers]
    return doubled_numbers

numbers = (1, 2, 3, 4]
doubled_numbers = double_numbers(numbers)
print(doubled_numbers) # (2, 4, 6, 8]"
